RefSeq ID	spacer_start	spacer_end	direction	confidence
NZ_JGDT01000063	13387	13421	R	HIGH
NZ_JGDT01000063	13516	13552	R	HIGH
NZ_MTGH01000006	164719	164753	R	HIGH
NZ_MTGH01000006	164782	164816	R	HIGH
NZ_MTGH01000006	164911	164947	R	HIGH
NZ_PDCX01000005	115803	115838	F	LOW
NC_015913	116870	116902	F	HIGH
NZ_JMZY02000213	15680	15716	F	LOW
NZ_KI301973	323514	323549	F	MEDIUM
NZ_LZGT01000094	69264	69296	R	LOW
NZ_AOBR01000119	25107	25146	F	HIGH
NZ_GL635694	904	939	R	HIGH
NC_019968	22700	22734	F	HIGH
NZ_GL982489	157022	157056	F	HIGH
NZ_FOBA01000010	127638	127672	F	HIGH
NZ_JH976495	1679955	1679988	R	HIGH
NZ_JH976495	1679825	1679858	R	HIGH
NZ_JH976495	1680152	1680186	R	MEDIUM
NZ_JH976495	1680606	1680639	R	HIGH
NZ_JH976495	1679757	1679793	R	HIGH
NZ_KL370807	46223	46253	R	MEDIUM
NZ_JH976495	1680473	1680507	R	HIGH
NZ_JH976495	1679890	1679923	R	HIGH
NC_009615	1380450	1380484	F	HIGH
NZ_NJFM02000001	4292611	4292645	F	HIGH
NZ_JH976495	1679620	1679658	R	MEDIUM
NZ_JH976495	1680086	1680120	R	MEDIUM
NZ_JH976495	1680343	1680375	R	HIGH
NZ_JH976495	1679690	1679725	R	HIGH
NZ_AJZS01000080	15633	15668	R	HIGH
NZ_AJZS01000080	15698	15733	R	HIGH
NZ_JOEW01000051	57853	57888	F	MEDIUM
NC_002950	2103940	2103975	F	HIGH
NC_002950	2104005	2104040	F	HIGH
NZ_CP025932	2104464	2104499	F	HIGH
NZ_CP025932	2104529	2104562	F	HIGH
NZ_FUGG01000012	65252	65288	F	MEDIUM
NZ_AJZS01000084	32550	32586	R	LOW
NZ_GG658151	863301	863337	R	HIGH
NZ_CP024985	8629619	8629656	F	LOW
NZ_GG658170	471893	471925	F	MEDIUM
NZ_CP019430	1891398	1891430	R	LOW
NZ_ATKB01000132	596	626	R	HIGH
NZ_ATKE01000047	38472	38512	R	HIGH
NZ_ATKG01000043	129422	129462	F	HIGH
NZ_ATKF01000035	51517	51554	R	HIGH
NZ_CP020882	705935	705969	R	HIGH
NZ_GL987999	181081	181117	R	HIGH
NZ_GL987995	1088404	1088441	F	MEDIUM
NZ_CP028103	2897223	2897259	F	LOW
NZ_LKPC01000020	7078	7108	R	HIGH
NZ_CP028103	2643879	2643916	F	MEDIUM
NZ_LVFA01000017	292345	292379	F	MEDIUM
NZ_LVEA01000031	250258	250292	F	MEDIUM
NZ_LVEU01000022	96055	96089	F	MEDIUM
NZ_KB822674	698623	698658	F	LOW
NC_004088	1291691	1291722	F	MEDIUM
NZ_KB822674	700080	700114	F	LOW
NZ_AOJP01000002	18809	18839	NA	NA
NZ_KB822675	108067	108103	R	LOW
NZ_AOJP01000002	16104	16134	R	HIGH
NZ_CP028108	328304	328341	R	MEDIUM
NZ_CFRW01000019	66561	66601	R	MEDIUM
NZ_CP028108	328371	328407	R	MEDIUM
NZ_CP028108	328437	328474	R	HIGH
NZ_GG665893	348474	348513	R	MEDIUM
NZ_JH815229	209917	209953	R	MEDIUM
NZ_JH815229	220529	220566	R	MEDIUM
NZ_CP028105	3066098	3066135	R	MEDIUM
NZ_CP028105	3076711	3076747	R	MEDIUM
NZ_JH594435	952703	952737	F	HIGH
NZ_AOLL01000030	56469	56506	R	MEDIUM
NZ_AOIN01000094	89	125	NA	NA
NZ_JJPH01000059	12699	12734	F	HIGH
NZ_AOIN01000094	155	190	NA	NA
NZ_AUNK01000024	15091	15126	F	HIGH
NZ_ATSZ01000017	4888	4925	R	HIGH
NZ_ATTA01000052	132	169	F	HIGH
NC_021743	489852	489888	R	HIGH
NC_021739	530036	530072	R	HIGH
NZ_ATSY01000004	77766	77803	F	HIGH
NC_021082	1577400	1577437	F	HIGH
NZ_DS264609	103128	103165	F	HIGH
NZ_AOGP01000054	63418	63455	F	HIGH
NZ_CCUZ01000001	752096	752128	R	HIGH
NZ_MLYL01000008	14087	14123	R	HIGH
NZ_MLYM01000024	14087	14123	R	HIGH
NZ_LQCY01000022	9694	9731	F	HIGH
NZ_LQDD01000062	9694	9731	F	HIGH
NZ_LQDF01000064	9694	9731	F	HIGH
NZ_LQDO01000060	9770	9807	F	HIGH
NZ_LQDZ01000045	9694	9731	F	HIGH
NZ_LQEB01000071	24777	24814	R	LOW
NZ_LQEJ01000066	24766	24803	R	LOW
NZ_LQEK01000085	4499	4535	R	LOW
NZ_LQEM01000073	24766	24803	R	LOW
NZ_LQEP01000073	9705	9741	F	HIGH
NZ_LQEU01000064	9694	9731	F	HIGH
NZ_LQEV01000058	9705	9742	F	HIGH
NZ_LQEZ01000041	9694	9731	F	HIGH
NZ_LQFD01000074	9694	9731	F	HIGH
NZ_LQFG01000065	9694	9731	F	HIGH
NZ_LQFI01000070	9694	9731	F	HIGH
NZ_LQFK01000047	24782	24819	R	LOW
NZ_LQFQ01000039	9694	9731	F	HIGH
NZ_CAIQ01000135	13301	13343	F	MEDIUM
NZ_LQFW01000071	9694	9731	F	HIGH
NZ_LQFX01000038	9694	9731	F	HIGH
NZ_LQGA01000074	9694	9731	F	HIGH
NZ_LFYB01000052	2626	2663	F	HIGH
NZ_CP011098	1041966	1042003	F	HIGH
NZ_CP011099	1041980	1042017	F	HIGH
NZ_LFXX01000055	4688	4725	R	HIGH
NZ_LFYA01000033	24961	24998	F	HIGH
NZ_LFXY01000067	5725	5761	R	HIGH
NC_004557	1217803	1217841	F	LOW
NZ_LFXV01000012	14541	14577	R	HIGH
NZ_CAIQ01000135	13301	13343	F	MEDIUM
NC_021883	1068668	1068705	F	HIGH
NZ_DS264609	103196	103232	F	HIGH
NZ_AOGP01000054	63486	63522	F	HIGH
NZ_ATTA01000052	200	236	F	HIGH
NZ_ATSY01000004	77834	77870	F	HIGH
NZ_MLYL01000008	14020	14055	R	HIGH
NZ_MLYM01000024	14020	14055	R	HIGH
NZ_LQCY01000022	9762	9798	F	HIGH
NZ_LQDD01000062	9762	9798	F	HIGH
NZ_LQDO01000060	9838	9874	F	HIGH
FMGK01000007	42459	42494	F	MEDIUM
NZ_LQDZ01000045	9762	9798	F	HIGH
NZ_LQEV01000058	9773	9809	F	HIGH
NZ_LQEZ01000041	9762	9798	F	HIGH
NZ_LQFD01000074	9762	9798	F	HIGH
NZ_LQFG01000065	9762	9798	F	HIGH
NZ_LQFI01000070	9762	9798	F	HIGH
NZ_LQFQ01000039	9762	9798	F	HIGH
NZ_LQFX01000038	9762	9798	F	HIGH
NZ_LQGQ01000069	9762	9798	F	HIGH
NZ_CP011098	1042034	1042070	F	HIGH
FMGQ01000007	64664	64694	F	MEDIUM
NZ_CP011099	1042048	1042084	F	HIGH
NC_021883	1068736	1068772	F	HIGH
NZ_ATSZ01000017	5022	5057	R	HIGH
NC_021743	490053	490087	R	HIGH
NZ_ATSY01000004	77567	77602	F	HIGH
NC_021082	1577267	1577302	F	HIGH
NZ_DS264609	102929	102964	F	HIGH
NZ_LFYD01000044	6485	6520	R	HIGH
NZ_LQCY01000022	9561	9595	F	HIGH
NZ_LQDD01000062	9561	9597	F	HIGH
FMFP01000003	95383	95419	F	LOW
NZ_LQDF01000064	9561	9597	F	HIGH
NZ_LQDO01000060	9637	9672	F	HIGH
NZ_LQDZ01000045	9561	9596	F	HIGH
NZ_LQEB01000071	24711	24746	F	HIGH
NZ_LQEJ01000066	24700	24735	F	HIGH
NZ_LQEK01000085	4567	4601	R	HIGH
NZ_LQEM01000073	24700	24735	F	HIGH
NZ_LQEP01000073	9572	9606	F	HIGH
NZ_LQEU01000064	9561	9596	F	HIGH
NZ_LQEV01000058	9572	9607	F	HIGH
LT618790	2221861	2221899	F	LOW
NZ_LQEZ01000041	9561	9596	F	HIGH
NZ_LQFD01000074	9561	9596	F	HIGH
NZ_LQFG01000065	9561	9596	F	HIGH
NZ_LQFI01000070	9561	9596	F	HIGH
NZ_LQFK01000047	24716	24751	F	HIGH
NC_008149	1221574	1221605	F	MEDIUM
NZ_LQFQ01000039	9561	9596	F	HIGH
NZ_LQFW01000071	9561	9596	F	HIGH
NZ_LQFX01000038	9561	9596	F	HIGH
NZ_LQGA01000074	9561	9596	F	HIGH
NZ_LQGQ01000069	9561	9596	F	HIGH
LT618789	2223308	2223346	F	LOW
NZ_CP011098	1041767	1041802	F	HIGH
NZ_CP011099	1041781	1041816	F	HIGH
NZ_LFXY01000067	5793	5827	R	HIGH
NZ_LFXV01000012	14742	14776	R	HIGH
NC_021883	1068535	1068570	F	HIGH
NC_020833	1086564	1086599	F	HIGH
NZ_DS264609	102861	102898	F	HIGH
NC_020833	1086496	1086533	F	HIGH
NC_020833	1086763	1086800	F	HIGH
NC_020833	1086831	1086867	F	HIGH
LT618790	2221861	2221899	F	LOW
NC_020833	1086898	1086933	F	HIGH
NC_021883	1068400	1068436	F	HIGH
NC_021739	530104	530138	R	HIGH
NZ_ATSY01000004	77700	77735	F	HIGH
NZ_AUNL01000081	2196	2230	F	LOW
NZ_CP011098	1041900	1041935	F	HIGH
NZ_CP011099	1041914	1041949	F	HIGH
NZ_LFYA01000033	24895	24930	F	HIGH
NZ_LFXV01000012	14609	14643	R	HIGH
NZ_DS264609	103062	103097	F	HIGH
LT618789	2223308	2223346	F	LOW
NC_020833	1086630	1086666	F	HIGH
NZ_LQGQ01000069	9627	9663	F	HIGH
NC_021739	530170	530204	R	HIGH
NZ_AUNL01000081	2063	2097	F	LOW
NZ_AOGP01000054	63285	63320	F	HIGH
NZ_LFYE01000059	8191	8226	R	HIGH
NZ_LFYA01000033	24762	24797	F	HIGH
NZ_CP017769	3464245	3464275	F	LOW
NZ_AP012333	1339316	1339350	R	HIGH
NZ_CM001148	575136	575170	F	HIGH
CZZV01000017	81353	81389	F	LOW
NZ_GG770319	660146	660180	F	HIGH
NZ_AKII01000017	370292	370327	R	HIGH
NZ_GG770225	584125	584153	R	MEDIUM
NZ_GG770225	584125	584153	R	MEDIUM
NZ_AP012334	469608	469636	R	MEDIUM
NZ_GL892076	2000556	2000592	R	HIGH
NZ_CP020457	422038	422075	F	MEDIUM
NZ_CP020457	422104	422140	F	MEDIUM
NZ_CP020457	422169	422206	F	LOW
NZ_CP020457	422235	422271	F	LOW
LT906439	1354890	1354923	R	HIGH
NZ_CP020457	422300	422336	R	MEDIUM
NZ_CP020457	422300	422336	R	MEDIUM
NZ_CP020457	422300	422336	R	MEDIUM
NZ_CP020457	422300	422336	R	MEDIUM
NZ_CP020457	422429	422466	R	MEDIUM
NZ_CP020457	422495	422532	R	HIGH
NZ_CP020457	422626	422663	R	MEDIUM
NZ_CP020457	422758	422796	R	MEDIUM
NZ_CP020457	423224	423262	R	MEDIUM
NZ_CP020457	417321	417354	F	HIGH
LT906458	1550684	1550716	F	LOW
NZ_CVQW01000008	269289	269322	R	LOW
NZ_CP011013	1513894	1513924	R	MEDIUM
NZ_ACCK01000449	63883	63913	R	MEDIUM
NZ_ACCK01000449	62958	62988	NA	NA
NZ_JH993797	3121513	3121548	F	HIGH
NZ_JH993797	4436247	4436281	F	HIGH
NZ_ADGX01000079	11224	11257	F	MEDIUM
NZ_ADGX01000120	11681	11717	F	LOW
NZ_ADGX01000079	27254	27286	F	LOW
NZ_DS999543	81202	81230	R	MEDIUM
LT906662	674337	674374	R	HIGH
NZ_DS999574	1064093	1064126	R	HIGH
NZ_AZRD01000064	29025	29055	R	MEDIUM
NZ_AZRC01000015	29272	29302	R	MEDIUM
NZ_GG704687	1554	1584	R	MEDIUM
NZ_AZRC01000015	29932	29962	NA	NA
NZ_GL622359	2224315	2224345	F	MEDIUM
NZ_GL622359	1487047	1487080	R	HIGH
NZ_GL622359	1495506	1495541	R	HIGH
NZ_GL622359	2224447	2224479	F	MEDIUM
LT906662	675665	675701	R	HIGH
NZ_AOLL01000030	57073	57109	R	MEDIUM
NZ_ACSK03000249	12331	12372	R	LOW
NZ_CP013008	2779551	2779592	R	LOW
NZ_AHKH01000004	58144	58178	R	HIGH
NZ_AHKH01000017	104598	104632	R	HIGH
NZ_AHKH01000017	91714	91748	R	HIGH
NZ_JH815208	829920	829948	R	HIGH
NZ_AEKI01000013	65	98	F	LOW
NZ_AEKI01000013	373	405	F	LOW
NZ_CZAZ01000003	266492	266525	F	HIGH
NZ_JTBO02000001	2778755	2778787	R	MEDIUM
NZ_JTBO01000001	2778651	2778683	R	MEDIUM
NZ_LDCD01000010	27604	27636	R	MEDIUM
NZ_JTBO02000001	2778995	2779027	R	MEDIUM
NZ_JTBO01000001	2778891	2778923	R	MEDIUM
NZ_JACS01000078	223981	224013	F	MEDIUM
NZ_GG692714	112212	112247	R	HIGH
NZ_AJJQ01000037	39918	39950	R	LOW
NZ_JPOJ01000001	3189111	3189143	F	MEDIUM
NZ_BANU01000022	2104	2137	R	LOW
MADV01001233	4819	4854	R	HIGH
NZ_BANU01000022	3630	3663	F	LOW
NZ_BANU01000022	2653	2686	R	LOW
NZ_BANU01000022	2775	2808	R	LOW
NZ_BANU01000022	3141	3174	F	LOW
NZ_BANU01000022	2592	2625	F	LOW
NC_009381	1592492	1592524	R	LOW
NZ_BANU01000023	3990	4023	R	LOW
NZ_BANU01000022	1616	1649	R	LOW
NZ_BANU01000023	512	545	R	LOW
NZ_BANU01000022	2165	2198	R	LOW
NZ_BANU01000022	3752	3785	F	LOW
KI542777	5843	5880	R	MEDIUM
NZ_BANU01000022	3202	3235	F	LOW
NZ_GG665866	138694	138728	R	MEDIUM
NZ_GG665866	138761	138795	R	MEDIUM
NZ_GG665866	139896	139932	R	HIGH
NZ_GG665866	138828	138861	R	HIGH
NZ_GG665866	139763	139797	R	HIGH
NZ_GG665866	139428	139460	R	HIGH
NZ_JNVY01000008	5649	5677	F	LOW
NZ_AABM02000004	113159	113187	R	HIGH
NZ_CP013673	1666865	1666900	R	HIGH
JZUG01000013	53871	53903	R	LOW
NZ_AJTJ01000084	19997	20029	R	LOW
NZ_AJTF01000018	393	421	R	MEDIUM
NZ_AJTM01000062	66152	66180	R	MEDIUM
NZ_AJTI01000057	5581	5609	F	LOW
NZ_MLZK01000016	598	626	R	LOW
NZ_AJTI01000057	5453	5481	F	LOW
NZ_AJTM01000062	66407	66435	R	HIGH
NZ_JNVY01000008	5264	5292	F	LOW
NZ_JH393257	1055950	1055983	NA	NA
NZ_KB897043	9843	9876	R	LOW
NZ_ABCJ01000029	40	74	R	MEDIUM
NZ_ABCJ01000029	171	205	R	LOW
NZ_ABCJ01000001	186440	186474	F	LOW
NZ_ABCJ01000001	186571	186605	F	MEDIUM
NZ_CP015406	1734988	1735023	R	HIGH
NZ_AGBF01000195	93	124	F	HIGH
NZ_AGBF01000195	154	185	F	HIGH
NZ_AGBF01000064	30585	30617	F	LOW
NZ_AGBF01000064	30829	30863	F	LOW
NZ_AGBF01000195	34	63	F	HIGH
KE346444	894880	894912	F	MEDIUM
NZ_AGBF01000064	30768	30800	F	LOW
NZ_AGBF01000064	31197	31229	F	MEDIUM
NZ_AGBF01000171	4859	4893	R	LOW
NZ_AGJN01000018	20007	20040	F	MEDIUM
NZ_KI912266	1965824	1965857	R	HIGH
NZ_AORU01000015	34973	35004	R	LOW
NZ_AORX01000002	128241	128271	R	LOW
NZ_ASWZ01000002	128242	128272	R	LOW
NZ_ASXA01000004	41431	41461	F	LOW
NZ_PVCA01000006	396	428	R	HIGH
KL586030	179	213	R	HIGH
NZ_PVCB01000003	86387	86419	F	MEDIUM
NZ_PYII01000003	105792	105826	R	HIGH
NZ_NRKQ01000008	46100	46132	F	MEDIUM
NZ_AKKB01000172	747	782	R	LOW
NZ_CM001166	87403	87436	R	MEDIUM
NZ_GG705231	121940	121973	F	HIGH
NZ_JOLQ01000008	133605	133637	R	HIGH
NZ_JOLQ01000008	133666	133698	R	HIGH
NZ_JOLV01000013	91312	91344	F	MEDIUM
NZ_JOLM01000005	1506057	1506089	R	HIGH
BFFD01000007	169750	169782	F	MEDIUM
NZ_JOLM01000005	1506118	1506150	R	HIGH
NZ_JOLG01000039	96898	96930	R	HIGH
NZ_JOLG01000039	96959	96991	R	HIGH
NZ_JOLR01000019	97015	97047	R	HIGH
NZ_JOLR01000019	97076	97108	R	HIGH
NZ_LCWW01000002	78073	78105	F	MEDIUM
NZ_LCWW01000002	78134	78166	F	MEDIUM
NZ_JOLF01000203	91489	91521	F	MEDIUM
NZ_JOLF01000203	91550	91582	F	MEDIUM
NZ_JOLI01000016	197637	197669	F	MEDIUM
LCSP01000239	1229	1261	F	MEDIUM
NZ_JOLH01000020	96927	96959	R	HIGH
NZ_JOLH01000020	96988	97020	R	HIGH
NZ_JOLD01000007	197891	197923	F	MEDIUM
NZ_JOLD01000007	197952	197984	F	MEDIUM
NZ_JOLJ01000038	9098	9130	F	MEDIUM
NZ_JOLJ01000038	9159	9191	F	MEDIUM
NZ_JOLC01000016	53769	53801	R	HIGH
NZ_JOLC01000016	53830	53862	R	HIGH
NZ_JOLE01000005	133653	133685	R	HIGH
NZ_JOLE01000005	133714	133746	R	HIGH
KZ269844	672774	672806	F	HIGH
NZ_JOLT01000015	197895	197927	F	MEDIUM
NZ_JOLT01000015	197956	197988	F	MEDIUM
NC_017933	3167021	3167053	R	HIGH
NZ_MRXW01000005	122463	122494	R	MEDIUM
NZ_AENS01000018	135908	135938	R	MEDIUM
NZ_FRAN01000006	150142	150175	R	HIGH
NZ_AQXI01000004	141992	142025	R	HIGH
NZ_FRAN01000006	150532	150567	R	HIGH
NZ_AQXI01000004	142382	142417	R	HIGH
NZ_KB372778	90538	90570	F	MEDIUM
MSGW01000022	114989	115023	F	HIGH
NZ_KI913949	4149002	4149041	F	HIGH
NZ_AOLN01000009	49523	49560	R	HIGH
NZ_AOLK01000019	25587	25624	R	HIGH
NZ_AOLK01000019	24785	24818	R	HIGH
NZ_AKZI01000170	3643	3674	R	MEDIUM
NZ_AKZI01000170	3712	3743	R	MEDIUM
NZ_AJXW01000061	20534	20570	R	MEDIUM
NZ_JH976208	809676	809709	F	MEDIUM
NZ_PYGW01000002	474529	474561	F	HIGH
NZ_JZZF01000004	126799	126831	NA	NA
FMMF01000002	104428	104466	R	HIGH
NZ_JZYR01000004	107221	107253	NA	NA
NZ_GG697147	4653	4686	R	HIGH
NZ_GG697148	71475	71507	F	MEDIUM
NZ_AOLE01000037	125978	126015	F	LOW
NZ_AOLD01000021	130566	130603	F	LOW
NC_009381	1592553	1592584	R	HIGH
NZ_ANPG01000234	89	125	F	HIGH
NZ_JH114379	49076	49110	F	HIGH
NZ_JH114379	50324	50358	F	HIGH
NZ_GL945397	5862	5898	R	LOW
NZ_CP007062	175804	175840	R	MEDIUM
QFBY01000036	18721	18753	F	MEDIUM
NZ_AKBT01000003	76874	76910	R	MEDIUM
NZ_ADDB02000001	173739	173775	R	HIGH
NZ_GG658015	77079	77115	R	MEDIUM
NZ_JH126431	601409	601443	F	LOW
NZ_JH126431	900262	900296	R	MEDIUM
NZ_JH126431	899923	899957	F	HIGH
NZ_JH126431	901216	901249	R	HIGH
NZ_AJGH01000032	4064	4098	F	LOW
NZ_AJGH01000032	4431	4464	R	LOW
NZ_AJGH01000032	4370	4403	R	LOW
BFFJ01000021	110816	110848	R	HIGH
NZ_AJGH01000032	5774	5807	R	HIGH
NZ_JNHP01000003	204482	204515	R	HIGH
NZ_JNHQ01000032	31792	31825	R	HIGH
NZ_JH976495	1680020	1680054	R	MEDIUM
NZ_KN173678	133545	133581	F	MEDIUM
NZ_GL988008	842698	842734	R	MEDIUM
NZ_KN173678	133611	133648	R	MEDIUM
NZ_GL988008	842631	842668	R	MEDIUM
NZ_KN173678	133478	133515	R	LOW
NZ_GG657972	210853	210889	R	MEDIUM
FMKJ01000023	7964	8001	R	MEDIUM
NZ_GG657972	211513	211549	F	LOW
NZ_GG657972	211447	211483	F	LOW
NZ_GG657971	204659	204697	F	HIGH
NZ_GG657972	211382	211417	R	MEDIUM
NZ_GG657971	204925	204962	F	HIGH
NZ_GG745510	192766	192798	R	LOW
NZ_GG745510	192766	192798	R	LOW
NZ_NXNK01000003	122178	122211	R	MEDIUM
NZ_AGBG01000098	101	135	NA	NA
NZ_LVES01000008	3950	3989	R	LOW
LT962680	664454	664489	F	HIGH
NZ_GG657742	3245509	3245541	R	LOW
NZ_JH597761	188563	188603	R	HIGH
NZ_ALNO01000001	317294	317333	F	LOW
NZ_JH600068	3186411	3186447	R	HIGH
NZ_JH600068	3180005	3180039	R	HIGH
NZ_JH165159	399479	399509	R	MEDIUM
NZ_JH164926	1538169	1538204	R	HIGH
NZ_GL349412	261709	261739	F	LOW
NZ_GL349412	262369	262399	F	LOW
LUYO01000166	11398	11432	F	MEDIUM
NZ_CYZM01000006	128760	128795	R	HIGH
NZ_JWDO01000001	2769	2801	F	LOW
NZ_GL622194	797865	797903	F	HIGH
NZ_GL622194	799653	799689	F	MEDIUM
NZ_JWDO01000098	4862	4902	R	HIGH
NZ_GG729933	178555	178589	F	MEDIUM
NZ_GG729933	177814	177849	F	HIGH
NZ_GG704825	1021586	1021616	R	HIGH
NZ_BAHS01000005	95683	95720	F	HIGH
NZ_BAII02000009	265999	266036	F	HIGH
KE350269	28175	28212	R	MEDIUM
NZ_NHMQ01000003	694840	694875	R	HIGH
NZ_JH114305	38368	38404	F	HIGH
NZ_JH114305	38301	38336	F	HIGH
NZ_JH114305	36026	36061	F	HIGH
NZ_JH114305	38502	38538	F	HIGH
NZ_BFEN01000057	111591	111629	F	LOW
NZ_BFEO01000130	3594	3632	F	LOW
NZ_BFEU01000167	3452	3490	F	LOW
NZ_MRZJ01000015	38666	38696	R	LOW
NZ_AJZR01000001	1692	1722	F	HIGH
QFBX01000034	67489	67521	F	MEDIUM
NZ_PTSX02000034	46622	46653	R	MEDIUM
NZ_AFUH01000001	1452084	1452116	R	LOW
NZ_CP021740	4964724	4964756	R	HIGH
NZ_CP021740	4963260	4963292	R	HIGH
NZ_AGIR01000003	107145	107180	F	LOW
NZ_CP007061	17870	17905	F	LOW
NZ_AGJF01000001	1760669	1760707	R	LOW
NZ_AGJF01000004	47096	47129	R	LOW
NZ_AGJF01000001	1760527	1760562	R	LOW
NZ_JH414547	59817	59856	F	HIGH
QFBX01000034	67729	67761	F	MEDIUM
NZ_JH414547	61606	61645	F	LOW
NZ_JH414597	368	411	R	MEDIUM
NZ_ANAG01000017	139266	139303	F	LOW
NZ_AMFQ01000152	104724	104756	F	HIGH
NZ_CP024507	42626	42658	R	MEDIUM
NZ_AFQU01000001	1890258	1890288	F	HIGH
NZ_AACK01000014	15710	15742	F	MEDIUM
NZ_AACK01000014	15590	15622	R	LOW
NZ_AACK01000014	15770	15802	F	MEDIUM
NZ_AACK01000014	15950	15982	F	MEDIUM
KL571047	197	230	R	HIGH
NZ_AACK01000014	16010	16042	F	MEDIUM
NZ_AACK01000014	15470	15502	R	LOW
NZ_AACK01000014	15830	15862	F	MEDIUM
NZ_AACK01000014	17092	17124	R	MEDIUM
NZ_FANI01000004	106147	106181	F	MEDIUM
NZ_FAEO01000025	353	390	R	MEDIUM
NZ_FAFK01000145	565	603	R	HIGH
NZ_OEZR01000022	12431	12468	R	HIGH
NZ_OEZE01000038	13572	13610	F	HIGH
LEGL01000165	1229	1261	F	MEDIUM
NZ_AVHA01000043	2319	2356	F	MEDIUM
NZ_AVJJ01000051	209352	209389	F	MEDIUM
NZ_AVJZ01000029	6789	6826	R	MEDIUM
NZ_CZZS01000001	130183	130220	F	MEDIUM
NZ_FABM01000047	1353	1390	F	MEDIUM
NC_009381	3032972	3033003	R	HIGH
NZ_FADS01000001	57577	57614	F	MEDIUM
NZ_FADT01000005	44059	44096	F	MEDIUM
NZ_FADW01000003	170458	170495	F	MEDIUM
NZ_FAEI01000003	161216	161253	F	MEDIUM
NZ_FAHY01000003	6359	6396	R	MEDIUM
JNBH01000319	511	544	F	HIGH
NZ_FAKR01000001	170458	170495	F	MEDIUM
NZ_FANY01000002	49367	49404	R	MEDIUM
NZ_AVLP01000064	117	154	F	MEDIUM
NZ_ABHD02000050	1298	1335	F	MEDIUM
NZ_FUNV01000003	388422	388459	R	MEDIUM
NZ_AVGY01000117	6003	6039	R	MEDIUM
